keys,es,en
AUD_MASTER,Volumen general,Master volume
AUD_MOTORS,Motores,Motors
AUD_MUTE,Silenciar todo,Mute all
AUD_SUBTITLE,Volumen general y por grupo de sonidos,Overall and per group volume
AUD_TITLE,Audio,Audio
AUD_UI,Interfaz,Interface
CAL_SAVE_ERROR,No se pudo guardar la calibración en el archivo de configuración.,Could not save the calibration data to the configuration file.
CAL_STEP_CENTER,Centrá los sticks,Center the sticks
CAL_STEP_CORNERS,Llevá los sticks a las esquinas,Move the sticks to the corners
CAL_STEP_PITCH_CENTER,Pitch al centro,Center pitch
CAL_STEP_PITCH_DOWN,Pitch abajo,Pitch down
CAL_STEP_PITCH_UP,Pitch arriba,Pitch up
CAL_STEP_ROLL_CENTER,Roll al centro,Center roll
CAL_STEP_ROLL_LEFT,Roll a la izquierda,Roll left
CAL_STEP_ROLL_RIGHT,Roll a la derecha,Roll right
CAL_STEP_THROTTLE_CENTER,Acelerador al centro,Center the throttle
CAL_STEP_THROTTLE_DOWN,Acelerador abajo,Throttle down
CAL_STEP_THROTTLE_UP,Acelerador arriba,Throttle up
CAL_STEP_YAW_CENTER,Yaw al centro,Center yaw
CAL_STEP_YAW_LEFT,Yaw a la izquierda,Yaw left
CAL_STEP_YAW_RIGHT,Yaw a la derecha,Yaw right
CAL_SUCCESS,Calibración completa,Calibration successful
CAL_TITLE,Calibrando…,Calibrating…
CAL_TITLE_DEVICE,Calibrando %s…,Calibrating %s…
CAL_WRONG_DEVICE,Mové los ejes de %s.,Please move the axes of %s.
CTRL_ACTION_ALTITUDE_HOLD,Mantener altura,Altitude hold
CTRL_ACTION_ARM_HOLD,Armar (mantener),Arm (hold)
CTRL_ACTION_ARM_TOGGLE,Armar (alternar),Arm (toggle)
CTRL_ACTION_CYCLE_MODES,Cambiar modo de vuelo,Cycle flight modes
CTRL_ACTION_MODE_ANGLE,Modo: Angle,Mode: Angle
CTRL_ACTION_MODE_HORIZON,Modo: Horizon,Mode: Horizon
CTRL_ACTION_MODE_LAUNCH,Modo: Control de lanzamiento,Mode: Launch control
CTRL_ACTION_MODE_POSITION,Modo: Posición,Mode: Position
CTRL_ACTION_MODE_SPEED,Modo: Speed,Mode: Speed
CTRL_ACTION_MODE_TURTLE,Modo: Tortuga,Mode: Turtle
CTRL_ACTION_RESPAWN,Reiniciar dron,Reset drone
CTRL_ACTIVE_CONTROLLER,MANDO ACTIVO,ACTIVE CONTROLLER
CTRL_AXES,EJES,AXES
CTRL_AXIS_N,Eje %d,Axis %d
CTRL_BINDINGS,ASIGNACIONES,BINDINGS
CTRL_BINDING_CAPTURED,Detectado. Confirmá para guardar la asignación.,Detected. Confirm to save the binding.
CTRL_BINDING_LISTENING,Pulsá un botón o mové un switch del mando.,Press a button or flip a switch on your controller.
CTRL_BUTTONS,BOTONES,BUTTONS
CTRL_BUTTON_N,Botón %d,Button %d
CTRL_CALIBRATE,Calibrar ejes,Calibrate axes
CTRL_CLEAR,Quitar,Clear
CTRL_DEFAULT_CONTROLLER,Usar siempre este mando,Always use this controller
CTRL_LISTEN_AGAIN,Detectar de nuevo,Listen again
CTRL_NO_CONTROLLER,No se encontró ningún mando,No controller found
CTRL_RESET,Restablecer,Reset to defaults
CTRL_RESET_CONFIRM,¿Borrar la calibración y las asignaciones de este mando?,Erase the calibration and bindings of this controller?
CTRL_TITLE,Controles,Controls
CTRL_UNBOUND,Sin asignar,Unbound
ERR_AUDIO_OPEN,No se pudo abrir la configuración de audio. Se cargan los valores por defecto.,Could not open the audio configuration file. The default settings will be loaded.
ERR_AUDIO_PARSE,No se pudo leer la configuración de audio. Se cargan los valores por defecto.,Failed to read the audio configuration file. The default settings will be loaded.
ERR_CONTROLLER_NOT_FOUND,"No se encontró el mando %s.
Revisá que esté conectado o elegí otro en la pantalla de Controles.","%s not found!
Please check it is properly plugged in, or head to the Controls settings to update your controller."
ERR_CONTROLS_OPEN,No se pudo abrir la configuración de controles. Revisá la pantalla de Controles.,Could not open the controls configuration file. Please check the Controls settings.
ERR_GRAPHICS_OPEN,No se pudo abrir la configuración gráfica. Se cargan los valores por defecto.,Could not open the graphics configuration file. The default settings will be loaded.
ERR_GRAPHICS_PARSE,No se pudo leer la configuración gráfica. Se cargan los valores por defecto.,Failed to read the graphics configuration file. The default settings will be loaded.
ERR_SETTINGS_OPEN,No se pudo abrir el archivo de ajustes. Se cargan los valores por defecto.,"Error loading the settings file, the default settings will be loaded."
ERR_SETTINGS_PARSE,No se pudo leer el archivo de ajustes. Se cargan los valores por defecto.,"Error parsing the settings file, the default settings will be loaded."
GAME_LANGUAGE,Idioma,Language
GAME_SECTION_INTERFACE,INTERFAZ,INTERFACE
GAME_STICK_NAVIGATION,Navegación con sticks,Stick navigation
